,name,psnr,ssim
0,Set68\test001,23.249391965898262,0.7232482257423359
1,Set68\test002,27.397853878070045,0.8697056021171683
2,Set68\test003,26.961290256075372,0.8856182573807012
3,Set68\test004,27.642210334213825,0.8528222250677655
4,Set68\test005,24.841964874199263,0.7926803802698402
5,Set68\test006,30.42793605870882,0.913209710965639
6,Set68\test007,25.556897716349972,0.8192564923442323
7,Set68\test008,23.140219284058148,0.7351161648937451
8,Set68\test009,26.17994392826898,0.8356010525601237
9,Set68\test010,26.971609236047108,0.8355914626556535
10,Set68\test011,25.70887459143229,0.8574948889587191
11,Set68\test012,25.349423462433577,0.7819933143661522
12,Set68\test013,26.808212731235162,0.8238078021503648
13,Set68\test014,27.990230226071766,0.8730878569237344
14,Set68\test015,24.285934950738593,0.7846201966816884
15,Set68\test016,24.564873514205377,0.8418786457666037
16,Set68\test017,30.590009024595556,0.900761018246289
17,Set68\test018,30.32610188238008,0.9141773474355352
18,Set68\test019,25.44757404273482,0.8039267750041454
19,Set68\test020,25.897767041081213,0.8611947688050392
20,Set68\test021,22.856921997325443,0.8312677536785344
21,Set68\test022,23.98530788456568,0.7822277669774719
22,Set68\test023,25.486663468973248,0.8466064644562632
23,Set68\test024,25.40521285984124,0.8463062454761917
24,Set68\test025,26.338108706013365,0.8926990733358496
25,Set68\test026,25.827430528623488,0.8137822007617245
26,Set68\test027,27.185551312331896,0.8463612250378667
27,Set68\test028,30.51787384322699,0.9098765081354999
28,Set68\test029,20.99410593089822,0.74001991804524
29,Set68\test030,27.06185633664647,0.8270312276629692
30,Set68\test031,21.395318401482243,0.7085531362629315
31,Set68\test032,23.521509604302167,0.7550562771529659
32,Set68\test033,24.863187238454614,0.8678288638802557
33,Set68\test034,31.001013032393377,0.9218476587478607
34,Set68\test035,25.436542614770893,0.8005141376023496
35,Set68\test036,26.301236950626752,0.6833091222522323
36,Set68\test037,26.339839645256315,0.7891739818123604
37,Set68\test038,26.268325644508703,0.8028083874902957
38,Set68\test039,29.306739456911487,0.9135255429165609
39,Set68\test040,26.714036513518092,0.8446762190338126
40,Set68\test041,25.129764257282368,0.8048560295784802
41,Set68\test042,26.797506992544456,0.8567053937212378
42,Set68\test043,27.08542131220166,0.8910623538985204
43,Set68\test044,24.48166490405532,0.7981698217748834
44,Set68\test045,31.223625508818106,0.9034271859370029
45,Set68\test046,23.241308999067595,0.7636386908057231
46,Set68\test047,23.69867371722183,0.7404131916491091
47,Set68\test048,26.383048843283426,0.8994703989686544
48,Set68\test049,29.431248886467113,0.8839758423207374
49,Set68\test050,24.277343444325844,0.7614026885714738
50,Set68\test051,25.404924502684196,0.830341713703247
51,Set68\test052,29.892843658704464,0.8882107103329557
52,Set68\test053,29.117385999930804,0.843374174618056
53,Set68\test054,26.08781569069233,0.8348087602081369
54,Set68\test055,24.69502244121228,0.7807591397195349
55,Set68\test056,21.01080019112624,0.632281642353334
56,Set68\test057,25.82416584848695,0.7935846342320505
57,Set68\test058,29.111721187774382,0.852001210042448
58,Set68\test059,28.448466352151026,0.8436153998560154
59,Set68\test060,28.863076900503035,0.8582547979296858
60,Set68\test061,27.699637789197148,0.8494807687731937
61,Set68\test062,30.629346163764012,0.9482004150989389
62,Set68\test063,23.40214298405094,0.7677569873009782
63,Set68\test064,24.315298401381483,0.724211719919664
64,Set68\test065,26.28646871235844,0.8278121724919792
65,Set68\test066,34.89621606973118,0.9758185066999496
66,Set68\test067,21.53666835082769,0.7767172078969676
67,Set68\test068,22.918737941987118,0.7897523507995592
68,Average,26.294638926783833,0.8271965854155474
